#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=webanno.custom.Errors_Ftes_Fataux|Erros


#Text=Apprenants polonophones du FLE
#Text=−
#Text=−
#Text=−
#Text=−
#Text=−
#Text=−
#Text=−
#Text=−
#Text=
#Text=Participant 21: Patrycya (FR_L2_POL_21)
#Text=Langue maternelle : polonais
#Text=Langue parlée avec parents, frères, sœurs, conjoint : polonais
#Text=Age : 22
#Text=Sexe : Féminin
#Text=Niveau d’études : Licence (L2)
#Text=Autres langues apprises : anglais, français
#Text=Séjours à l’étranger de longue durée (plus de 3 mois) : Non
#Text=
#Text=XXX Patrycya
#Text=
#Text=Pensez-vous que tous les musées devraient être gratuits ?
1-1	0-10	Apprenants	_	_	_	
1-2	11-23	polonophones	_	_	_	
1-3	24-26	du	_	_	_	
1-4	27-30	FLE	_	_	_	
1-5	31-32	−	_	_	_	
1-6	33-34	−	_	_	_	
1-7	35-36	−	_	_	_	
1-8	37-38	−	_	_	_	
1-9	39-40	−	_	_	_	
1-10	41-42	−	_	_	_	
1-11	43-44	−	_	_	_	
1-12	45-46	−	_	_	_	
1-13	48-59	Participant	_	_	_	
1-14	60-62	21	_	_	_	
1-15	62-63	:	_	_	_	
1-16	64-72	Patrycya	_	_	_	
1-17	73-74	(	_	_	_	
1-18	74-79	FR_L2	_	_	_	
1-19	79-80	_	_	_	_	
1-20	80-83	POL	_	_	_	
1-21	83-84	_	_	_	_	
1-22	84-86	21	_	_	_	
1-23	86-87	)	_	_	_	
1-24	88-94	Langue	_	_	_	
1-25	95-105	maternelle	_	_	_	
1-26	106-107	:	_	_	_	
1-27	108-116	polonais	_	_	_	
1-28	117-123	Langue	_	_	_	
1-29	124-130	parlée	_	_	_	
1-30	131-135	avec	_	_	_	
1-31	136-143	parents	_	_	_	
1-32	143-144	,	_	_	_	
1-33	145-151	frères	_	_	_	
1-34	151-152	,	_	_	_	
1-35	153-158	sœurs	_	_	_	
1-36	158-159	,	_	_	_	
1-37	160-168	conjoint	_	_	_	
1-38	169-170	:	_	_	_	
1-39	171-179	polonais	_	_	_	
1-40	180-183	Age	_	_	_	
1-41	184-185	:	_	_	_	
1-42	186-188	22	_	_	_	
1-43	189-193	Sexe	_	_	_	
1-44	194-195	:	_	_	_	
1-45	196-203	Féminin	_	_	_	
1-46	204-210	Niveau	_	_	_	
1-47	211-212	d	_	_	_	
1-48	212-213	’	_	_	_	
1-49	213-219	études	_	_	_	
1-50	220-221	:	_	_	_	
1-51	222-229	Licence	_	_	_	
1-52	230-231	(	_	_	_	
1-53	231-233	L2	_	_	_	
1-54	233-234	)	_	_	_	
1-55	235-241	Autres	_	_	_	
1-56	242-249	langues	_	_	_	
1-57	250-258	apprises	_	_	_	
1-58	259-260	:	_	_	_	
1-59	261-268	anglais	_	_	_	
1-60	268-269	,	_	_	_	
1-61	270-278	français	_	_	_	
1-62	279-286	Séjours	_	_	_	
1-63	287-288	à	_	_	_	
1-64	289-290	l	_	_	_	
1-65	290-291	’	_	_	_	
1-66	291-299	étranger	_	_	_	
1-67	300-302	de	_	_	_	
1-68	303-309	longue	_	_	_	
